idTitre:ID,artiste,nomChanson,:LABEL
t466,Les dix commandements,La peine maximum,Titre
t467,Les dix commandements,L'envie d'aimer,Titre
t468,Les Enfoirés,Attention au départ,Titre
t469,Les Enfoirés,La chanson des Restos,Titre
t470,Les Enfoirés,Si l’on s’aimait si,Titre
t471,Les Enfoirés,Encore un autre hiver,Titre
t472,Les Enfoirés,Ici les enfoirés,Titre
t473,Les Enfoirés ,Un jour de plus au paradis,Titre
t474,Les Innocents,Colore,Titre
t475,Les Innocents,Un homme extraordinaire,Titre
t476,Les Inconnus,Auteuil Neuilly Passy,Titre
t477,Les Innocents,L’autre Finistère,Titre
t478,Les Négresses vertes,Sous le soleil de bodega,Titre
t479,Les Négresses vertes,Voila l’été,Titre
t480,Les Poppys,Non non rien a changé,Titre
t481,Lilicub,Voyage en Italie,Titre
t482,Lio,Banana Split,Titre
t483,Lio,Fallait pas commencer,Titre
t484,Lio,Les brunes comptent pas pour des prunes,Titre
t485,Lorie,Sur un air latino,Titre
t486,Lorie,Toute seule,Titre
t487,Lorie,Positive Attitude,Titre
t488,Lorie,J’ai besoin d’amour,Titre
t489,Louis Bertignac,Ces idées-là,Titre
t490,Louise Attaque,Léa,Titre
t491,Louise Attaque,Les nuits parisiennes,Titre
t492,Louise Attaque,J’t’emmène au vent,Titre
t493,Louise Attaque,Ton invitation,Titre
t494,Louisy Joseph,Assis par terre,Titre
t495,L5,Toutes les femmes de ta vie,Titre
t496,-M-,Qui de nous deux,Titre
t497,-M-,Machistador,Titre
t498,-M-,Je dis aime,Titre
t499,-M-,Mama Sam,Titre
t500,-M-,Le roi des ombres,Titre
t501,Maitre Gims,Bella,Titre
t502,Maitre Gims,J’me tire,Titre
t503,Marc Lavoine,Les tournesols,Titre
t504,Marc Lavoine,Qu’est-ce que t’es belle,Titre
t505,Marc Lavoine,Je descends du singe,Titre
t506,Marc Lavoine,Chère amie (toutes mes excuses),Titre
t507,Marc Lavoine,Pour une biguine avec toi,Titre
t508,Marc Lavoine,Paris,Titre
t509,Marc Lavoine,Elle a les yeux révolver,Titre
t510,Marc Lavoine,C’est ça la France,Titre
t511,Marc Lavoine,Je me sens si seul,Titre
t512,Marc Lavoine,Toi mon amour,Titre
t513,Marc Lavoine Christina Marocco,J’ai tout oublié,Titre
t514,Marc Lavoine Claire Keim,Je ne veux qu’elle,Titre
t515,Marie Myriam,L'oiseau et l'enfant,Titre
t516,Marie Paule Belle,La parisienne,Titre
t517,Martin Circus,Je m’éclate au Sénégal,Titre
t518,Martin Circus,Marylène ,Titre
t519,Maurane,Toutes les mamas,Titre
t520,Maxime Le Forestier,Né quelque part,Titre
t521,Maxime le Forestier,San Francisco,Titre
t522,MC Solaar,Caroline,Titre
t523,MC Solaar,Titre
t524,Mécano,Une femme avec une femme,Titre
t525,Menelik,Bye-bye,Titre
t526,Michel Blanc,Viens chez moi j’habite chez une copine,Titre
t527,Michel Berger,La groupie du pianiste ,Titre
t528,Michel Berger,Le paradis blanc,Titre
t529,Michel Berger,Diego Libre dans sa tête,Titre
t530,Michel Berger,Celui qui chante,Titre
t531,Michel Berger,Quelques mots d’amour,Titre
t532,Michel Berger,Les princes des villes,Titre
t533,Michel Berger,Seras-tu là,Titre
t534,Michel Berger,Chanter pour ceux qui sont loin de chez eux,Titre
t535,Michel Berger,Mademoiselle Chang,Titre
t536,Michel Delpech,Pour un flirt,Titre
t537,Michel Delpech,Le chasseur,Titre
t538,Michel Delpech,Quand j’étais chanteur,Titre
t539,Michel Delpech,Le Loir-et-Cher,Titre
t540,Michel Delpech,White is white,Titre
t541,Michel Fugain,La fête,Titre
t542,Michel Fugain,Les acadiens,Titre
t543,Michel Fugain,Chante comme si tu devais mourir demain,Titre
t544,Michel Fugain,Attention mesdames et messieurs,Titre
t545,Michel Fugain,Une belle histoire,Titre
t546,Michel Fugain,Viva la vida,Titre
t547,Michel Jonasz,Les vacances au bord de la mer,Titre
t548,Michel Jonasz,Joueur de blues,Titre
t549,Michel Jonasz,Dites-moi,Titre
t550,Michel Jonasz,Je voulais te dire que je t’attends,Titre
t551,Michelle Torr,Emmène-moi danser ce soir,Titre
t552,Michel Polnareff,Lettre à France,Titre
t553,Michel Polnareff,Goodbye Marilou,Titre
t554,Michel Polnareff,On ira tous au paradis,Titre
t555,Michel Polnareff,Love me please love me,Titre
t556,Michel Polnareff,Dans la maison vide,Titre
t557,Michel Polnareff,Holidays,Titre
t558,Michel Polnareff,La poupée qui fait non,Titre
t559,Michel Polnareff,Tout pour ma chérie,Titre
t560,Michel Sardou,Les lacs du Connemara ,Titre
t561,Michel Sardou ,La java de Broadway,Titre
t562,Michel Sardou,J’habite en France,Titre
t563,Michel Sardou,Je vais t’aimer,Titre
t564,Michel Sardou,Le France,Titre
t565,Michel Sardou,Le Surveillant Général,Titre
t566,Michel Sardou,Dix ans plus tôt,Titre
t567,Michel Sardou,Mourir de plaisir,Titre
t568,Michel Sardou,La fille aux yeux clairs,Titre
t569,Michel Sardou,Les vieux mariés,Titre
t570,Michel Sardou,Chanteur de Jazz,Titre
t571,Michel Sardou,Les bals populaires,Titre
t572,Michel Sardou,La maladie d'amour,Titre
t573,Michel Sardou,Je viens du sud,Titre
t574,Michel Sardou,En chantant,Titre
t575,Michel Sardou,Etre une femme,Titre
